Accession Number,Source,Botanical Name,Propagation
27598-522-86,sample.pdf_page_0,SMILAX Nipponica KE 3750,"'ROPAGATION: imbibed then we placed were ymbiratification eff to Apr. `86. EX. from 16 Removed 14/4/86, sown, and placed in cold me from - Gehm. Apr 14/89 - 2 andling 2 sudlings pricked out Juni 28/89 DEAD APR 23 1991 1 ,"
25124-522-86,sample.pdf_page_1,,"ROPAGATION: Seeds were imbibed, then were EX. placed in cold stratification from 16 De to Apr. 86. Removed 15 Apr. 86, sown, and placed i from 1 me. - Germination June 23/86 - 11 andlings in all 7 sudlings pricked out July 7/86 Elaine"
,sample.pdf_page_2,1 SmiLAX TAMNOIDES VAR. HisPiDA,PROPAGATION NOV 21 2005 -Joe Cild H₂O 2 Hrs -CS 60-90d SOWN-POLY SHADEHOUSE APR 24 2008 FAILED TO GERMINATE EX. CURATOR'S INFORMA 1
,sample.pdf_page_3,Smyrnium perfoliatum (L.) Mill.,PROPAGATION: 1 EX. SOWN - POLY SHADEHOUSE FEB 26 1990 Germ Feb 27/ १। Sudlings did not develop - Died Before true Developed
34073-7-98,sample.pdf_page_4,SOLANUM DULCA MARA,"PROPAGATION 1 JULY 20-98 27-98 JULY 6 RTD & REMO FROM MIST "" "" COMPLETE 71₁ = 100% ¡EX. |CURATOR'S INFORMA 6.342"
,sample.pdf_page_5,Solanum laciniatum Aiton.,"PROPAGATION SOWN-POLY SHADEHOUSE FEB 03 2004 JUL 26 2007 FAILED TO GERMINATE OTHER 33138-649-97 1 SOWN GERM FEB. 10-97 (80) PSH Apr. 7-97 (22) EX. |CURATOR'S INFORMA SHR. D. 1-3 St. sometim to 10cm. di 30cm, broad deeply pinn Infl. 5-15c cor. rotate showy, indi cm, ellipso tinted oran"
039389-5555-2009,sample.pdf_page_6,SOLANUM MAMMOSUM L.,"PROPAGATION * SOW 4 POTS (NO BOTTOM (SO SEEDS EACH) HEAT. SOWN GLASSHOUSE 15 2009 (122 SEEDLINGS) 80 POTTED INTO 34"" POTS APR 01 2009. GERM APRIL APRIL 28-09 IN SEEDLING NUTRICOTE MEDIA WITH 50% RATE 18-6-8 (42 DISCARDED) EX. CULTIVA |CURATOR'S INFORMA GRIN SOLANACEA Annual/"
,sample.pdf_page_7,,PROPAGATION: 1 BURNABY 49°15″N 123°10'W SOWN - COLDFRAME JAN 20 1989 DISCARDED NEW WEST DIST FAILED TO GERMINATE MAY 30 1990 EX.
27507-547-89,sample.pdf_page_8,Solaria at,PROPAGATION: 1 SOWN - COLDFRAME - FEB 10 1989 Hem apr 14/8 MEDIUM BULB. ANDEAN SANTIAG Outskirts OF May 19/89 Potted into scotch pot may DEAD OCT 29 1992
20608-439-80,sample.pdf_page_9,,"PROPAGATION: Sown 4 24-9-80 G. 27-10-80 + pl. 17-12-87 ㅆ planets 17-12-81 sedl. yellow & poor 8 P. 8-5-81 OTHER 28687-553-90 Sown JAN 8-90 Apr. 05-18 (+101) 2018-0091 2018-0138 Feb 7-19 (+101) PSH 28d WS. 28dc5"" 28dWS>> 28d CS GERM MAY 11-90 Spring 19 Feb 20% 1"
20512-423-80,sample.pdf_page_10,,"PROPAGATION: Soun 24-9-80 pl. 25-8-81 G. 10-11-81.12 p. 8-5-81"" yellow & poor. 1"
,sample.pdf_page_11,Soldanella pusilla Baumg.,"PROPAGATION * COVER LIGHTLY, GRAVEL ONLY SOWN-POLY SHADEHOUSE FEB 02 2000 FAILED TO GERMINATE 1 EX. |CURATOR'S INFORMA Her. p. to - Fls. solita: pur."
,sample.pdf_page_12,,'ROPAGATION: wwwwww. 1 19-1-84 10-2-84 inside 60°F 5 Sown G. 15-3-84 all dead 27-3-84 Aransferred EX. A 1A. IA-SE. 146-16-85
24208-170-84,sample.pdf_page_13,,PROPAGATION: SOWN MAR 19 1984 G. 20-11-84 2 pod 15-3 3-85 - wwwwwwwwww 1 INSIDE EX.
27209-547-89,sample.pdf_page_14,,"PROPAGATION: only 10 and SOWN - COLDFRAME FEB 10 1989 Ceper 3/8° - Potted into Scotch Pot april 6/89 Other 36824-169-03 (24hr cws) Low HERR, COAS COWLAND HILL YEL # Sowa GERM Quant (26) FeB 27, 2003 PSH APR 04, 03 14 1"
35353-891-7,sample.pdf_page_15,Solenomelus segethii (Phillipi) Kuntze.,PROPAGATION 24-48 HR Cws |EX. |CURATOR'S INFORMA - SOWN-POLY SHADEHOUSE MAR 2 1999 Derm. Mar? /00 - 13 seedlings - 13 sudlings pricked out may 29/00 Her. p. to 31 Infl. 1-2 fle Summer. 1
33502-649-97,sample.pdf_page_16,SØZEØE SOLENOMELUS SISYRINCHIUM (Griseb.) Diels,"PROPAGATION GOWN - POLY SHADEHOUSE 1 GERM BRENT APRIL 15-97 Will TAKE FEB 10 1997 ندر (~25 SDIGS) Seed Pot CURATOR'S INFORMA HER-P den 10-3 scoepe fls 1-2, shor RHS=S, seget ✓ Pl. Find EB995"
34012-083-98,sample.pdf_page_17,SOLIDAGO bicolor L.,PROPAGATION SOWN FEB 5 1998 B.C.R. COLD STORE MAR 12 1998 REMOVED FROM B.C.R. COLD STORE -Germe TO PSH May 4/ 1/98-5 seedlings - 5 of medlings pricked out a 16/9 98 1 EX. |CURATOR'S INFORMA¯ Her. P. to 1 Roy flts. wh Late summ- 'SILVER ROD I head elon
30587-055-93,sample.pdf_page_18,Solidago CalSia E,"PROPAGATION: 1 EX. SOWN GREENHOUSE FEB 08 1983 HERPE FL. YEL. Toll shim, 1-3f4. D. May 28, 1993 only germ. 1 pribed auton June 17, 1993 3 f4."
